Dystans do przejscia: 1000, dlugosc kroku: 5
53: (x,y)=(-16.2554,0.00934436)
54: (x,y)=(-11.3836,1.1341)
55: (x,y)=(-12.5932,-3.71738)
56: (x,y)=(-16.1899,-0.244087)
57: (x,y)=(-18.0629,-4.88001)
58: (x,y)=(-22.7614,-3.16991)
59: (x,y)=(-17.9318,-4.464)
60: (x,y)=(-13.1502,-3.00214)
61: (x,y)=(-18.1228,-3.52478)
62: (x,y)=(-20.4702,0.889953)
63: (x,y)=(-22.098,5.61755)
64: (x,y)=(-26.4282,3.11755)
65: (x,y)=(-26.6899,8.11069)
66: (x,y)=(-28.7235,3.54297)
67: (x,y)=(-31.8018,7.48302)
68: (x,y)=(-28.7235,11.4231)
69: (x,y)=(-25.3135,15.0798)
70: (x,y)=(-28.9102,18.5531)
71: (x,y)=(-31.0233,14.0216)
72: (x,y)=(-26.9276,11.1537)
73: (x,y)=(-30.4631,14.6892)
74: (x,y)=(-32.3361,10.0533)
75: (x,y)=(-31.9874,5.06551)
76: (x,y)=(-31.378,10.0282)
77: (x,y)=(-29.6679,14.7267)
78: (x,y)=(-31.781,10.1952)
79: (x,y)=(-27.1785,12.1488)
80: (x,y)=(-22.2157,12.7582)
81: (x,y)=(-17.7607,15.0281)
82: (x,y)=(-16.0506,10.3297)
83: (x,y)=(-18.6258,6.04382)
84: (x,y)=(-17.6718,10.952)
85: (x,y)=(-22.1657,8.7601)
86: (x,y)=(-21.6431,3.78749)
87: (x,y)=(-21.2073,8.76846)
88: (x,y)=(-21.6431,13.7494)
89: (x,y)=(-26.5149,14.8742)
90: (x,y)=(-31.4534,14.092)
91: (x,y)=(-26.4724,13.6562)
92: (x,y)=(-27.0818,18.619)
93: (x,y)=(-30.1601,22.559)
94: (x,y)=(-26.2743,19.4124)
95: (x,y)=(-26.8837,14.4497)
96: (x,y)=(-22.0322,13.2401)
97: (x,y)=(-26.7307,14.9502)
98: (x,y)=(-31.7238,14.6885)
99: (x,y)=(-27.9503,11.4082)
100: (x,y)=(-23.3477,13.3619)
101: (x,y)=(-23.7835,8.38089)
102: (x,y)=(-28.7805,8.55539)
103: (x,y)=(-33.4164,10.4284)
104: (x,y)=(-30.1361,6.65487)
105: (x,y)=(-34.6676,4.54178)
106: (x,y)=(-37.6767,0.548604)
107: (x,y)=(-32.8471,1.8427)
108: (x,y)=(-32.2377,6.80543)
109: (x,y)=(-29.1594,10.7455)
110: (x,y)=(-33.9657,9.3673)
111: (x,y)=(-38.8172,8.15769)
112: (x,y)=(-39.6855,13.0817)
113: (x,y)=(-43.6786,10.0727)
114: (x,y)=(-47.2753,6.59936)
115: (x,y)=(-46.1506,11.4712)
116: (x,y)=(-48.8738,15.6646)
117: (x,y)=(-44.7286,12.8686)
118: (x,y)=(-42.8555,8.23268)
119: (x,y)=(-42.9428,3.23344)
120: (x,y)=(-40.0749,7.3292)
121: (x,y)=(-38.9502,12.2011)
122: (x,y)=(-38.3408,7.23832)
123: (x,y)=(-41.2087,11.3341)
124: (x,y)=(-36.2847,12.2023)
125: (x,y)=(-33.5615,16.3957)
126: (x,y)=(-30.2812,12.6221)
127: (x,y)=(-25.6133,14.414)
128: (x,y)=(-20.7414,15.5387)
129: (x,y)=(-19.5318,20.3902)
130: (x,y)=(-24.0634,18.2771)
131: (x,y)=(-22.6015,13.4956)
132: (x,y)=(-21.3074,8.66596)
133: (x,y)=(-19.9292,13.4723)
134: (x,y)=(-17.8955,18.04)
135: (x,y)=(-16.5173,13.2337)
136: (x,y)=(-12.3722,10.4377)
137: (x,y)=(-8.22697,7.64175)
138: (x,y)=(-3.22773,7.72902)
139: (x,y)=(-3.05323,12.726)
140: (x,y)=(-1.59138,7.94445)
141: (x,y)=(-3.70447,12.476)
142: (x,y)=(0.931452,10.603)
143: (x,y)=(5.92841,10.4285)
144: (x,y)=(8.578,6.18821)
145: (x,y)=(9.01378,11.1692)
146: (x,y)=(13.5453,9.0561)
147: (x,y)=(11.1213,4.683)
148: (x,y)=(6.19723,3.81476)
149: (x,y)=(2.6617,0.279223)
150: (x,y)=(2.6617,-4.72078)
151: (x,y)=(0.86986,-0.0528752)
152: (x,y)=(-1.77974,-4.29312)
153: (x,y)=(1.22934,-8.28629)
154: (x,y)=(4.09722,-4.19053)
155: (x,y)=(8.59119,-6.38239)
156: (x,y)=(8.41669,-1.38543)
157: (x,y)=(10.5298,-5.91697)
158: (x,y)=(10.0071,-0.944364)
159: (x,y)=(14.5749,1.08932)
160: (x,y)=(13.879,6.04066)
161: (x,y)=(17.8191,2.96235)
162: (x,y)=(13.7233,0.09447)
163: (x,y)=(9.67821,-2.84446)
164: (x,y)=(4.69724,-2.40868)
165: (x,y)=(4.95892,-7.40183)
166: (x,y)=(1.88061,-11.3419)
167: (x,y)=(6.78875,-12.2959)
168: (x,y)=(10.9821,-9.57273)
169: (x,y)=(15.2679,-12.1479)
170: (x,y)=(19.0982,-8.93398)
171: (x,y)=(19.6208,-3.96137)
172: (x,y)=(23.3943,-0.681077)
173: (x,y)=(27.7245,-3.18108)
174: (x,y)=(32.6872,-3.79042)
175: (x,y)=(36.6273,-6.86873)
176: (x,y)=(38.8191,-2.37476)
177: (x,y)=(34.8791,0.703547)
178: (x,y)=(32.5317,5.11828)
179: (x,y)=(37.5043,4.59564)
180: (x,y)=(36.3796,-0.276208)
181: (x,y)=(36.3796,-5.27621)
182: (x,y)=(32.2344,-2.48024)
183: (x,y)=(30.6893,2.27504)
184: (x,y)=(27.7504,6.32012)
185: (x,y)=(23.3773,8.74417)
186: (x,y)=(21.8322,13.4995)
187: (x,y)=(17.1046,11.8716)
188: (x,y)=(13.0595,14.8105)
189: (x,y)=(15.8555,10.6654)
190: (x,y)=(14.1454,15.3638)
191: (x,y)=(17.491,11.6481)
192: (x,y)=(21.2646,14.9284)
193: (x,y)=(25.8323,12.8947)
194: (x,y)=(30.6838,14.1043)
195: (x,y)=(28.4138,9.64928)
196: (x,y)=(30.2868,5.01336)
197: (x,y)=(33.2258,9.05845)
198: (x,y)=(32.3575,13.9825)
199: (x,y)=(27.5061,12.7729)
200: (x,y)=(22.5182,13.1217)
201: (x,y)=(25.8639,16.8374)
202: (x,y)=(30.5915,15.2095)
203: (x,y)=(29.7232,10.2855)
204: (x,y)=(33.1332,6.62873)
205: (x,y)=(32.6106,1.65612)
206: (x,y)=(37.4169,0.277938)
207: (x,y)=(42.4161,0.190676)
208: (x,y)=(41.122,-4.63895)
209: (x,y)=(36.1707,-5.33482)
210: (x,y)=(39.0386,-1.23906)
211: (x,y)=(43.3244,-3.81425)
212: (x,y)=(41.8626,0.967275)
213: (x,y)=(44.4378,-3.31856)
214: (x,y)=(43.2281,-8.17004)
215: (x,y)=(38.2897,-7.38787)
216: (x,y)=(39.0719,-12.3263)
217: (x,y)=(43.7995,-10.6985)
218: (x,y)=(39.5592,-13.3481)
219: (x,y)=(41.7511,-17.842)
220: (x,y)=(39.4811,-13.387)
221: (x,y)=(36.0078,-9.7903)
222: (x,y)=(32.0147,-6.78123)
223: (x,y)=(35.6114,-10.2545)
224: (x,y)=(40.5923,-10.6903)
225: (x,y)=(43.8726,-14.4638)
226: (x,y)=(48.3666,-12.272)
227: (x,y)=(49.9117,-7.51671)
228: (x,y)=(54.3667,-9.78666)
229: (x,y)=(55.3208,-14.6948)
230: (x,y)=(53.2871,-19.2625)
231: (x,y)=(49.4013,-16.1159)
232: (x,y)=(53.0581,-12.7059)
233: (x,y)=(52.3623,-7.75459)
234: (x,y)=(51.6664,-2.80325)
235: (x,y)=(53.2942,1.92434)
236: (x,y)=(56.8298,5.45988)
237: (x,y)=(58.4576,10.1875)
238: (x,y)=(54.1275,12.6875)
239: (x,y)=(49.5249,14.6411)
240: (x,y)=(50.819,9.8115)
241: (x,y)=(52.4469,14.5391)
242: (x,y)=(47.7484,16.2492)
243: (x,y)=(51.7416,19.2583)
244: (x,y)=(55.3383,22.7316)
245: (x,y)=(60.1898,23.9412)
246: (x,y)=(64.9713,22.4793)
247: (x,y)=(69.0671,19.6114)
248: (x,y)=(64.3992,21.4033)
249: (x,y)=(69.1268,19.7754)
250: (x,y)=(72.5367,23.4322)
251: (x,y)=(73.405,28.3562)
252: (x,y)=(69.6314,31.6365)
253: (x,y)=(74.1992,33.6702)
254: (x,y)=(74.6349,38.6512)
255: (x,y)=(79.09,36.3812)
256: (x,y)=(80.044,41.2894)
257: (x,y)=(78.8344,46.1408)
258: (x,y)=(75.4244,42.4841)
259: (x,y)=(75.7732,47.4719)
260: (x,y)=(72.1164,50.8819)
261: (x,y)=(68.1764,47.8036)
262: (x,y)=(66.0633,43.272)
263: (x,y)=(68.2551,38.7781)
264: (x,y)=(73.2361,38.3423)
265: (x,y)=(77.8038,40.376)
266: (x,y)=(73.0223,38.9141)
267: (x,y)=(76.4956,42.5108)
268: (x,y)=(71.5146,42.9466)
269: (x,y)=(70.4751,47.8373)
270: (x,y)=(74.0718,51.3106)
271: (x,y)=(71.8018,46.8556)
272: (x,y)=(74.6697,42.7598)
273: (x,y)=(78.5554,45.9064)
274: (x,y)=(83.4069,44.6968)
275: (x,y)=(88.2132,46.075)
276: (x,y)=(83.4069,44.6968)
277: (x,y)=(85.52,49.2284)
278: (x,y)=(80.8521,47.4365)
279: (x,y)=(85.7761,48.3048)
280: (x,y)=(87.3212,43.5495)
281: (x,y)=(82.9481,45.9735)
282: (x,y)=(81.4863,41.192)
283: (x,y)=(86.449,41.8014)
284: (x,y)=(82.6755,45.0816)
285: (x,y)=(82.3267,50.0695)
286: (x,y)=(79.6771,45.8292)
287: (x,y)=(83.7728,48.6971)
288: (x,y)=(84.8976,53.569)
289: (x,y)=(88.8376,50.4907)
290: (x,y)=(87.628,55.3421)
291: (x,y)=(86.2499,50.5358)
292: (x,y)=(86.4243,55.5328)
293: (x,y)=(88.5374,60.0643)
294: (x,y)=(85.8878,64.3046)
295: (x,y)=(82.2911,67.7778)
296: (x,y)=(87.1208,69.0719)
297: (x,y)=(83.5241,72.5452)
298: (x,y)=(87.7174,69.822)
299: (x,y)=(85.2174,65.4919)
300: (x,y)=(90.19,66.0146)
301: (x,y)=(85.9967,63.2914)
302: (x,y)=(90.1419,66.0873)
303: (x,y)=(85.1449,66.2618)
304: (x,y)=(87.7201,70.5477)
305: (x,y)=(92.6108,69.5081)
306: (x,y)=(94.4027,74.176)
307: (x,y)=(99.2323,75.4701)
308: (x,y)=(97.0405,79.9641)
309: (x,y)=(92.5465,77.7722)
310: (x,y)=(95.0465,82.1023)
311: (x,y)=(90.6734,79.6783)
312: (x,y)=(88.0238,83.9185)
313: (x,y)=(91.7973,80.6382)
314: (x,y)=(95.4541,77.2282)
315: (x,y)=(91.081,79.6523)
316: (x,y)=(87.7354,75.9366)
317: (x,y)=(89.2804,71.1813)
318: (x,y)=(89.6292,66.1935)
319: (x,y)=(94.0843,63.9235)
320: (x,y)=(93.7355,68.9113)
321: (x,y)=(88.9292,67.5331)
322: (x,y)=(84.3976,69.6462)
323: (x,y)=(81.9736,74.0193)
324: (x,y)=(86.4676,76.2112)
325: (x,y)=(85.0894,71.4049)
326: (x,y)=(89.817,69.777)
327: (x,y)=(94.7683,70.4729)
328: (x,y)=(95.6365,75.3969)
329: (x,y)=(97.5902,79.9995)
330: (x,y)=(97.0676,84.9721)
331: (x,y)=(101.823,83.427)
332: (x,y)=(102.432,88.3897)
333: (x,y)=(100.887,93.145)
334: (x,y)=(95.8993,93.4938)
335: (x,y)=(100.431,95.6069)
336: (x,y)=(105.129,97.317)
337: (x,y)=(102.554,93.0311)
338: (x,y)=(101.26,97.8608)
339: (x,y)=(101.783,102.833)
340: (x,y)=(101.521,97.8402)
341: (x,y)=(102.646,102.712)
342: (x,y)=(100.854,98.0442)
343: (x,y)=(99.1438,93.3457)
344: (x,y)=(94.2053,94.1279)
345: (x,y)=(96.3184,89.5964)
346: (x,y)=(100.559,86.9468)
347: (x,y)=(97.1487,90.6035)
348: (x,y)=(100.363,86.7733)
349: (x,y)=(102.154,91.4412)
350: (x,y)=(105.69,87.9057)
351: (x,y)=(107.644,92.5082)
352: (x,y)=(104.047,89.0349)
353: (x,y)=(108.287,91.6845)
354: (x,y)=(113.042,93.2296)
355: (x,y)=(110.695,88.8149)
356: (x,y)=(112.887,84.3209)
357: (x,y)=(116.773,81.1743)
358: (x,y)=(121.528,79.6292)
359: (x,y)=(126.379,80.8388)
360: (x,y)=(121.777,82.7925)
361: (x,y)=(116.784,83.0541)
362: (x,y)=(117.045,88.0473)
363: (x,y)=(120.876,84.8333)
364: (x,y)=(124.869,87.8424)
365: (x,y)=(126.903,92.4102)
366: (x,y)=(126.815,87.4109)
367: (x,y)=(130.701,84.2643)
368: (x,y)=(131.826,79.3925)
369: (x,y)=(135.299,82.9892)
370: (x,y)=(136.339,87.8799)
371: (x,y)=(133.763,83.5941)
372: (x,y)=(128.791,83.0714)
373: (x,y)=(125.134,79.6614)
374: (x,y)=(126.762,84.389)
375: (x,y)=(129.485,80.1957)
376: (x,y)=(124.704,78.7338)
377: (x,y)=(127.917,74.9036)
378: (x,y)=(127.222,69.9522)
379: (x,y)=(127.047,64.9553)
380: (x,y)=(125.093,69.5578)
381: (x,y)=(120.106,69.9066)
382: (x,y)=(115.118,70.2554)
383: (x,y)=(119.448,72.7554)
384: (x,y)=(115.303,69.9594)
385: (x,y)=(110.364,69.1772)
386: (x,y)=(115.361,69.0027)
387: (x,y)=(116.989,73.7303)
388: (x,y)=(121.988,73.8176)
389: (x,y)=(125.645,77.2276)
390: (x,y)=(129.638,80.2367)
391: (x,y)=(134.394,81.7818)
392: (x,y)=(129.638,80.2367)
393: (x,y)=(124.7,81.0188)
394: (x,y)=(127.639,85.0639)
395: (x,y)=(128.764,89.9358)
396: (x,y)=(132.36,93.4091)
397: (x,y)=(128.887,89.8124)
398: (x,y)=(123.888,89.8996)
399: (x,y)=(125.516,85.172)
400: (x,y)=(121.522,82.163)
401: (x,y)=(117.807,85.5086)
402: (x,y)=(113.521,82.9334)
403: (x,y)=(115.791,87.3885)
404: (x,y)=(119.564,84.1082)
405: (x,y)=(124.416,82.8986)
406: (x,y)=(129.416,82.8986)
407: (x,y)=(130.025,77.9358)
408: (x,y)=(134.807,76.474)
409: (x,y)=(132.011,72.3288)
410: (x,y)=(136.84,73.6229)
411: (x,y)=(136.84,78.6229)
412: (x,y)=(134.807,74.0551)
413: (x,y)=(131.333,77.6518)
414: (x,y)=(127.288,80.5908)
415: (x,y)=(131.228,83.6691)
416: (x,y)=(127.818,87.3258)
417: (x,y)=(132.69,86.2011)
418: (x,y)=(131.396,81.3715)
419: (x,y)=(133.82,85.7446)
420: (x,y)=(128.896,84.8763)
421: (x,y)=(126.862,89.444)
422: (x,y)=(125.568,94.2737)
423: (x,y)=(130.44,95.3984)
424: (x,y)=(126.247,98.1216)
425: (x,y)=(123.238,102.115)
426: (x,y)=(127.965,103.743)
427: (x,y)=(123.21,102.198)
428: (x,y)=(124.755,106.953)
429: (x,y)=(120.382,104.529)
430: (x,y)=(115.967,102.181)
431: (x,y)=(120.819,100.972)
432: (x,y)=(119.274,96.2165)
433: (x,y)=(115.033,93.5669)
434: (x,y)=(115.295,88.5738)
435: (x,y)=(110.693,90.5275)
436: (x,y)=(105.73,91.1368)
437: (x,y)=(110.511,89.6749)
438: (x,y)=(108.164,85.2602)
439: (x,y)=(105.589,80.9744)
440: (x,y)=(110.513,81.8426)
441: (x,y)=(115.512,81.9299)
442: (x,y)=(114.73,86.8683)
443: (x,y)=(111.721,90.8615)
444: (x,y)=(114.799,94.8015)
445: (x,y)=(118.629,98.0155)
446: (x,y)=(113.678,97.3196)
447: (x,y)=(117.823,100.116)
448: (x,y)=(120.691,104.211)
449: (x,y)=(116.055,102.338)
450: (x,y)=(112.225,105.552)
451: (x,y)=(110.033,101.058)
452: (x,y)=(111.327,96.2286)
453: (x,y)=(116.29,96.838)
454: (x,y)=(114.098,92.344)
455: (x,y)=(112.973,97.2159)
456: (x,y)=(114.267,92.3862)
457: (x,y)=(109.416,93.5959)
458: (x,y)=(107.462,88.9933)
459: (x,y)=(104.813,93.2336)
460: (x,y)=(104.464,88.2458)
461: (x,y)=(100.867,84.7725)
462: (x,y)=(104.86,87.7815)
463: (x,y)=(108.854,84.7725)
464: (x,y)=(108.505,89.7603)
465: (x,y)=(113.356,88.5507)
466: (x,y)=(114.225,83.6266)
467: (x,y)=(119.225,83.6266)
468: (x,y)=(114.316,84.5807)
469: (x,y)=(119.098,83.1188)
470: (x,y)=(123.629,81.0057)
471: (x,y)=(128.623,81.2674)
472: (x,y)=(133.604,81.7032)
473: (x,y)=(134.898,76.8736)
474: (x,y)=(130.026,75.7488)
475: (x,y)=(125.074,76.4447)
476: (x,y)=(123.529,81.1999)
477: (x,y)=(118.774,79.6549)
478: (x,y)=(123.189,82.0022)
479: (x,y)=(122.407,86.9407)
480: (x,y)=(126.862,89.2106)
481: (x,y)=(122.922,86.1323)
482: (x,y)=(127.884,86.7417)
483: (x,y)=(126.506,81.9353)
484: (x,y)=(125.297,77.0839)
485: (x,y)=(122.573,81.2772)
486: (x,y)=(119.228,77.5615)
487: (x,y)=(114.356,78.6863)
488: (x,y)=(109.393,78.0769)
489: (x,y)=(110.855,82.8584)
490: (x,y)=(106.525,80.3584)
491: (x,y)=(110.855,77.8584)
492: (x,y)=(106.862,74.8494)
493: (x,y)=(110.635,71.5691)
494: (x,y)=(107.986,75.8093)
495: (x,y)=(102.987,75.722)
496: (x,y)=(98.6135,78.1461)
497: (x,y)=(100.647,73.5784)
498: (x,y)=(95.6593,73.9271)
499: (x,y)=(95.7466,78.9264)
500: (x,y)=(91.1441,80.88)
501: (x,y)=(93.94,76.7348)
502: (x,y)=(95.2341,71.9052)
503: (x,y)=(91.6986,68.3697)
504: (x,y)=(93.2437,73.125)
505: (x,y)=(98.05,71.7468)
506: (x,y)=(95.1821,67.651)
507: (x,y)=(97.4521,63.196)
508: (x,y)=(97.2776,68.1929)
509: (x,y)=(101.108,71.4069)
510: (x,y)=(96.4093,73.117)
511: (x,y)=(99.2053,77.2622)
512: (x,y)=(97.1716,81.8299)
513: (x,y)=(92.3901,83.2918)
514: (x,y)=(93.4296,88.1825)
515: (x,y)=(98.2359,89.5607)
516: (x,y)=(93.7809,87.2907)
517: (x,y)=(98.6717,88.3303)
518: (x,y)=(97.6321,83.4395)
519: (x,y)=(93.4869,80.6436)
520: (x,y)=(92.5329,85.5517)
521: (x,y)=(96.4186,88.6983)
522: (x,y)=(100.464,85.7594)
523: (x,y)=(97.0537,89.4162)
524: (x,y)=(100.527,93.0129)
525: (x,y)=(104.467,96.0912)
526: (x,y)=(106.501,91.5234)
527: (x,y)=(111.452,90.8276)
528: (x,y)=(109.824,95.5552)
529: (x,y)=(105.679,92.7592)
530: (x,y)=(103.104,97.045)
531: (x,y)=(99.0588,99.984)
532: (x,y)=(94.168,101.024)
533: (x,y)=(95.3776,105.875)
534: (x,y)=(91.5474,109.089)
535: (x,y)=(89.2,104.674)
536: (x,y)=(90.9919,100.006)
537: (x,y)=(86.356,98.1333)
538: (x,y)=(87.31,103.041)
539: (x,y)=(82.4804,104.335)
540: (x,y)=(78.3352,101.54)
541: (x,y)=(82.4804,98.7436)
542: (x,y)=(82.0446,103.725)
543: (x,y)=(79.1057,99.6795)
544: (x,y)=(83.4788,97.2554)
545: (x,y)=(78.6972,95.7936)
546: (x,y)=(75.4833,99.6238)
547: (x,y)=(72.6154,103.72)
548: (x,y)=(73.4837,108.644)
549: (x,y)=(69.6534,111.858)
550: (x,y)=(70.3493,106.906)
551: (x,y)=(75.3425,107.168)
552: (x,y)=(78.4208,103.228)
553: (x,y)=(79.8826,98.4463)
554: (x,y)=(75.6424,95.7967)
555: (x,y)=(74.0973,91.0414)
556: (x,y)=(77.983,94.188)
557: (x,y)=(75.3334,89.9478)
558: (x,y)=(75.2462,94.947)
559: (x,y)=(78.2552,90.9538)
560: (x,y)=(83.2279,90.4312)
561: (x,y)=(83.0534,85.4342)
562: (x,y)=(78.7232,82.9342)
563: (x,y)=(73.9169,81.556)
564: (x,y)=(77.6326,84.9017)
565: (x,y)=(81.826,87.6249)
566: (x,y)=(83.5361,92.3233)
567: (x,y)=(81.5024,87.7556)
568: (x,y)=(86.332,89.0497)
569: (x,y)=(88.1239,84.3818)
570: (x,y)=(83.1269,84.2073)
571: (x,y)=(82.6043,89.1799)
572: (x,y)=(79.3904,93.0101)
573: (x,y)=(74.3972,93.2718)
574: (x,y)=(71.1833,97.102)
575: (x,y)=(76.146,96.4927)
576: (x,y)=(81.07,95.6245)
577: (x,y)=(76.0822,95.9732)
578: (x,y)=(71.1195,95.3639)
579: (x,y)=(75.2647,98.1599)
580: (x,y)=(79.9923,96.532)
581: (x,y)=(77.9586,101.1)
582: (x,y)=(78.7408,96.1613)
583: (x,y)=(74.7476,99.1704)
584: (x,y)=(77.9615,95.3402)
585: (x,y)=(82.8334,94.2154)
586: (x,y)=(81.9651,99.1394)
587: (x,y)=(82.0524,94.1402)
588: (x,y)=(84.0861,89.5725)
589: (x,y)=(79.4835,91.5261)
590: (x,y)=(75.3878,88.6582)
591: (x,y)=(79.6736,91.2334)
592: (x,y)=(74.6767,91.0589)
593: (x,y)=(79.2082,88.9459)
594: (x,y)=(81.6323,93.3189)
595: (x,y)=(76.877,91.7739)
596: (x,y)=(72.6836,94.4971)
597: (x,y)=(72.0743,99.4598)
598: (x,y)=(73.1138,94.5691)
599: (x,y)=(68.1138,94.5691)
600: (x,y)=(72.8414,96.1969)
601: (x,y)=(76.8346,93.1878)
602: (x,y)=(71.8536,93.6236)
603: (x,y)=(76.8414,93.9724)
604: (x,y)=(81.6929,95.182)
605: (x,y)=(84.5608,99.2777)
606: (x,y)=(86.2709,94.5793)
607: (x,y)=(85.4027,89.6552)
608: (x,y)=(80.4399,89.0459)
609: (x,y)=(84.5357,86.178)
610: (x,y)=(79.5547,85.7422)
611: (x,y)=(76.6158,81.6972)
612: (x,y)=(71.7862,82.9912)
613: (x,y)=(69.5162,87.4463)
614: (x,y)=(74.5132,87.2718)
615: (x,y)=(75.4672,82.3636)
616: (x,y)=(80.4642,82.1892)
617: (x,y)=(76.7484,85.5348)
618: (x,y)=(74.0989,89.775)
619: (x,y)=(76.5229,94.1481)
620: (x,y)=(81.431,95.1022)
621: (x,y)=(86.4242,94.8405)
622: (x,y)=(91.4173,95.1022)
623: (x,y)=(94.4264,91.109)
624: (x,y)=(98.2,87.8287)
625: (x,y)=(99.6618,83.0472)
626: (x,y)=(99.8363,78.0502)
627: (x,y)=(100.961,82.9221)
628: (x,y)=(102.171,78.0706)
629: (x,y)=(107.152,77.6348)
630: (x,y)=(111.981,78.9289)
631: (x,y)=(108.636,82.6446)
632: (x,y)=(113.598,83.254)
633: (x,y)=(114.892,88.0836)
634: (x,y)=(119.591,86.3735)
635: (x,y)=(118.466,91.2454)
636: (x,y)=(114.636,88.0314)
637: (x,y)=(113.596,83.1407)
638: (x,y)=(116.743,79.255)
639: (x,y)=(117.179,74.274)
640: (x,y)=(112.576,72.3203)
641: (x,y)=(107.604,71.7977)
642: (x,y)=(110.613,67.8045)
643: (x,y)=(113.759,71.6902)
644: (x,y)=(118.698,72.4724)
645: (x,y)=(113.79,71.5184)
646: (x,y)=(117.386,68.0451)
647: (x,y)=(112.75,66.1721)
648: (x,y)=(115.618,62.0763)
649: (x,y)=(120.606,61.7275)
650: (x,y)=(122.719,57.196)
651: (x,y)=(117.868,58.4056)
652: (x,y)=(121.913,55.4667)
653: (x,y)=(117.345,57.5003)
654: (x,y)=(121.538,54.7771)
655: (x,y)=(123.083,50.0219)
656: (x,y)=(126.969,53.1685)
657: (x,y)=(129.544,57.4543)
658: (x,y)=(129.37,52.4573)
659: (x,y)=(133.143,55.7376)
660: (x,y)=(133.579,60.7186)
661: (x,y)=(136.447,64.8144)
662: (x,y)=(141.299,66.024)
663: (x,y)=(142.844,61.2687)
664: (x,y)=(147.832,60.9199)
665: (x,y)=(151.112,64.6935)
666: (x,y)=(151.025,69.6927)
667: (x,y)=(146.153,68.5679)
668: (x,y)=(141.346,67.1898)
669: (x,y)=(136.648,65.4797)
670: (x,y)=(141.376,67.1075)
671: (x,y)=(137.382,70.1166)
672: (x,y)=(142.254,71.2413)
673: (x,y)=(145.05,75.3865)
674: (x,y)=(146.842,70.7186)
675: (x,y)=(143.068,67.4383)
676: (x,y)=(141.859,72.2898)
677: (x,y)=(138.202,68.8798)
678: (x,y)=(142.488,71.455)
679: (x,y)=(137.733,73.0001)
680: (x,y)=(142.671,73.7823)
681: (x,y)=(141.461,68.9308)
682: (x,y)=(136.859,66.9771)
683: (x,y)=(141.852,67.2388)
684: (x,y)=(144.999,71.1245)
685: (x,y)=(139.999,71.1245)
686: (x,y)=(143.534,67.589)
687: (x,y)=(146.184,63.3488)
688: (x,y)=(149.193,67.3419)
689: (x,y)=(153.648,65.072)
690: (x,y)=(155.11,69.8535)
691: (x,y)=(153.565,65.0982)
692: (x,y)=(156.065,69.4284)
693: (x,y)=(155.803,74.4215)
694: (x,y)=(160.766,75.0308)
695: (x,y)=(159.388,70.2245)
696: (x,y)=(163.919,72.3376)
697: (x,y)=(163.483,77.3186)
698: (x,y)=(159.29,74.5954)
699: (x,y)=(164.283,74.8571)
700: (x,y)=(163.415,69.933)
701: (x,y)=(162.461,65.0249)
702: (x,y)=(167.097,66.8979)
703: (x,y)=(168.642,71.6532)
704: (x,y)=(173.244,69.6996)
